date,adjustedClose,momentum_12m,peso
2009-11-09,3.2857,0.8096051109764828,0.6252985534118902
2009-11-10,3.333,0.7899146125342356,0.6252985534118902
2009-11-11,3.4496,0.8734589692065391,0.6252985534118902
2009-11-12,3.2659,0.7811409249563699,0.6252985534118902
2009-11-13,3.2736,0.7800978792822186,0.5021419538250119
2009-11-16,3.4074,0.7828589367936374,0.5021419538250119
2009-11-17,3.4034,0.6981339187705817,0.5021419538250119
2009-11-18,3.4057,0.7069466720128308,0.5021419538250119
2009-11-19,3.3563,0.7075193325193325,0.5021419538250119
2009-11-23,3.3421,0.7812183552736767,0.4769812172409145
2009-11-24,3.3517,0.5979499404052442,0.4769812172409145
2009-11-25,3.3447,0.6589950895292893,0.4769812172409145
2009-11-26,3.2976,0.641331939674481,0.4769812172409145
2009-11-27,3.333,0.6666666666666667,0.5035860519048376
2009-11-30,3.3328,0.7461099177450621,0.5035860519048376
2009-12-01,3.3563,0.6907460581330915,0.5035860519048376
2009-12-02,3.3563,0.7142346391541958,0.5035860519048376
2009-12-03,3.3034,0.7562868839385399,0.5035860519048376
2009-12-04,3.2163,0.7578291523200524,0.625776830035299
2009-12-07,3.3328,0.7874074868604528,0.625776830035299
2009-12-08,3.3097,0.7587013125033211,0.625776830035299
2009-12-09,3.312,0.8217821782178216,0.625776830035299
2009-12-10,3.2633,0.7722804540270463,0.625776830035299
2009-12-11,3.2859,0.7406897282407161,0.7888177783113693
2009-12-14,3.3137,0.7831889361244146,0.7888177783113693
2009-12-15,3.3447,0.830605878167588,0.7888177783113693
2009-12-16,3.3447,0.7394040251703156,0.7888177783113693
2009-12-17,3.3563,0.7561218082879866,0.7888177783113693
2009-12-18,3.361,0.7065244986037067,0.9808530520212122
2009-12-21,3.368,0.6902539395764329,0.9808530520212122
2009-12-22,3.4493,0.6816829993661939,0.9808530520212122
2009-12-23,3.3843,0.6927424598609513,0.9808530520212122
2009-12-28,3.4027,0.6221099299232491,0.8642898775469211
2009-12-29,3.4962,0.7226054394954673,0.8642898775469211
2009-12-30,3.4379,0.6670222567036803,0.8642898775469211
2010-01-04,3.5661,0.7844775820656527,0.7976529029162159
2010-01-05,3.5871,0.8021100226073852,0.7976529029162159
2010-01-06,3.6237,0.8731003825080119,0.7976529029162159
2010-01-07,3.6407,0.9184802655846551,0.7976529029162159
2010-01-08,3.6337,0.9012662201758059,0.90842154124831
2010-01-11,3.5894,0.816222233466579,0.90842154124831
2010-01-12,3.6127,0.7415638256845354,0.90842154124831
2010-01-13,3.6593,0.8255425293090544,0.90842154124831
2010-01-14,3.7118,0.8741731885887405,0.90842154124831
2010-01-15,3.7055,0.8792473881732426,0.9179309955449175
2010-01-18,3.7059,0.8617935192162776,0.9179309955449175
2010-01-19,3.7113,0.8645064054257725,0.9179309955449175
2010-01-20,3.6293,0.8536697481996018,0.9179309955449175
2010-01-21,3.6582,0.8467363319703163,0.9179309955449175
2010-01-22,3.7059,0.8898974960477333,0.8312294503155795
2010-01-26,3.6405,0.8375227135069654,0.8312294503155795
2010-01-27,3.6018,0.8729135250376994,0.8312294503155795
2010-01-28,3.6069,0.9105355156523123,0.8312294503155795
2010-01-29,3.4962,0.8987671753652311,0.8194861573113507
2010-02-01,3.5311,0.8960962250979969,0.8194861573113507
2010-02-02,3.6174,0.9329913433792882,0.8194861573113507
2010-02-03,3.671,0.968786871178805,0.8194861573113507
2010-02-04,3.5195,0.9116289174949759,0.8194861573113507
2010-02-05,3.3913,0.8380033602514769,0.6875564770086331
2010-02-08,3.3563,0.8145104611558633,0.6875564770086331
2010-02-09,3.3463,0.8173573019062619,0.6875564770086331
2010-02-10,3.3682,0.7951287107605391,0.6875564770086331
2010-02-11,3.4496,0.8682842287694974,0.6875564770086331
2010-02-12,3.4295,0.7752872968216171,0.6795109965848112
2010-02-17,3.5964,0.8635162443649931,0.6795109965848112
2010-02-18,3.5722,0.8464798924842345,0.6795109965848112
2010-02-19,3.5852,0.8100671479779877,0.572710604695556
2010-02-22,3.5691,0.818835040513683,0.572710604695556
2010-02-23,3.4729,0.7550535678188803,0.572710604695556
2010-02-24,3.4682,0.7342734273427343,0.572710604695556
2010-02-25,3.5069,0.7516108086509166,0.572710604695556
2010-02-26,3.4759,0.7542646613505604,0.5789873461925122
2010-03-01,3.5172,0.767170778274632,0.5789873461925122
2010-03-02,3.4962,0.8333508127949658,0.5789873461925122
2010-03-03,3.5078,0.7664417363279283,0.5789873461925122
2010-03-04,3.4726,0.7631886265549632,0.5789873461925122
2010-03-05,3.4239,0.7323045788009108,0.6361352026502302
2010-03-08,3.4426,0.7376337573187968,0.6361352026502302
2010-03-09,3.4097,0.7283556366585562,0.6361352026502302
2010-03-10,3.4374,0.7559256232120963,0.6361352026502302
2010-03-11,3.4496,0.9346082665021593,0.6361352026502302
2010-03-12,3.4263,0.9393785022924095,0.8003861722140281
2010-03-15,3.4193,0.8990835878922521,0.8003861722140281
2010-03-16,3.4293,0.8391612142014373,0.8003861722140281
2010-03-17,3.4379,0.8164958258480397,0.8003861722140281
2010-03-18,3.4449,0.8228913112498679,0.8003861722140281
2010-03-19,3.3097,0.7036598548412003,1.0
2010-03-22,3.3214,0.7066077484328437,1.0
2010-03-23,3.3051,0.6889468036179671,1.0
2010-03-24,3.2801,0.6363681716138687,1.0
2010-03-25,3.3209,0.6961540425966597,1.0
2010-03-26,3.3092,0.682615548889002,1.0
2010-03-29,3.2836,0.6305492104479096,1.0
2010-03-30,3.3148,0.643186437317206,1.0
2010-03-31,3.2172,0.5957541788601759,1.0
2010-04-01,3.2221,0.527858125088909,1.0
2010-04-05,3.2848,0.5852516770426139,0.749746711343384
2010-04-06,3.2622,0.5727509401214927,0.749746711343384
2010-04-07,3.2908,0.5725891235783236,0.749746711343384
2010-04-08,3.2911,0.5383285033186873,0.749746711343384
2010-04-09,3.2981,0.5820501750851439,0.9854847681904428
2010-04-12,3.3214,0.5355524734165513,0.9854847681904428
2010-04-13,3.3563,0.5385990648207573,0.9854847681904428
2010-04-14,3.3843,0.5316346850108618,0.9854847681904428
2010-04-15,3.4433,0.5519448325596068,0.9854847681904428
2010-04-16,3.4022,0.4910158646682443,0.6695456633316781
2010-04-19,3.3796,0.5279171752791718,0.6695456633316781
2010-04-20,3.3796,0.6053581607448224,0.6695456633316781
2010-04-22,3.4263,0.5557119505993462,0.6695456633316781
2010-04-23,3.4915,0.5687199532731275,1.0
2010-04-26,3.551,0.6037394995935328,1.0
2010-04-27,3.3913,0.5356366600253577,1.0
2010-04-28,3.3307,0.4947940041288932,1.0
2010-04-29,3.4018,0.5162239258334822,1.0
2010-04-30,3.4291,0.5636570907432741,0.6176714954248493
2010-05-03,3.4055,0.5140939000533522,0.6176714954248493
2010-05-04,3.4029,0.4961748153359127,0.6176714954248493
2010-05-05,3.4263,0.5075900910810929,0.6176714954248493
2010-05-06,3.4402,0.5374508401859135,0.6176714954248493
2010-05-07,3.4729,0.5204010156728835,0.8325650163149171
2010-05-10,3.4869,0.5122300286234711,0.8325650163149171
2010-05-11,3.4962,0.515803164968567,0.8325650163149171
2010-05-12,3.5169,0.4867469879518074,0.8325650163149171
2010-05-13,3.4962,0.48219433610310336,0.8325650163149171
2010-05-14,3.4729,0.4900034322979234,0.859401643367865
2010-05-17,3.5195,0.48772033647546187,0.859401643367865
2010-05-18,3.4729,0.4327145214521453,0.859401643367865
2010-05-19,3.4496,0.4460093896713615,0.859401643367865
2010-05-20,3.3659,0.4440964475716491,0.859401643367865
2010-05-21,3.3517,0.45252437703141934,0.828982106861426
2010-05-24,3.4472,0.4939111592632719,0.828982106861426
2010-05-25,3.4239,0.4766463966877992,0.828982106861426
2010-05-26,3.2631,0.36582813611820364,0.828982106861426
2010-05-27,3.4542,0.42912701696317757,0.828982106861426
2010-05-28,3.4705,0.4113460756405043,0.619084753536285
2010-05-31,3.4332,0.3896219541811705,0.619084753536285
2010-06-01,3.4612,0.40095523354650675,0.619084753536285
2010-06-02,3.5544,0.44276668290306853,0.619084753536285
